epsilon,m,n,iterations,predicted_iterations,percent_of_predicted,gap,primal_value,dual_value,mu,lipschitz,operator_norm,converged,elapsed_seconds,mu_mode,stages
0.001,300,10000,12022,28993,41.46518125064671,0.000999523767044666,-0.07349205341516879,-0.07449157718221346,8.766112701907305e-05,11407.549103162912,0.9999993054540972,True,547.5289675999993,fixed,1
0.001,1000,100,7526,22561,33.35845042329684,0.0009991636508585866,0.09355712645135343,0.09255796280049484,7.238241365054197e-05,13815.405971307966,0.9999962148755268,True,1.325227299999824,fixed,1
0.001,1000,300,8828,25108,35.160108332005734,0.000999634561162241,0.03292350105769151,0.03192386649652927,7.238241365054197e-05,13815.492023187433,0.9999993292038329,True,2.722255500000756,fixed,1
0.001,1000,1000,10157,27632,36.75810654313839,0.0009996724602000658,-0.0010620024182098643,-0.00206167487840993,7.238241365054197e-05,13815.501231438266,0.9999996624617113,True,13.427157899997837,fixed,1
0.001,1000,3000,11595,29748,38.97741024606696,0.0009998316671577107,-0.017225961192110263,-0.018225792859267974,7.238241365054197e-05,13815.510085679907,0.9999999829074586,True,44.04891409999982,fixed,1
0.001,1000,10000,14167,31906,44.40230677615496,0.0009999158533154397,-0.03034428184870633,-0.03134419770202177,7.238241365054197e-05,13815.5082741462,0.9999999173458642,True,344.96845100000064,fixed,1
0.0001,100,100,68505,184206,37.189342366698156,9.99966916522925e-05,0.005978331880950424,0.005878335189298131,1.0857362047581295e-05,92102.31632335413,0.9999940968543326,True,28.64735589999691,fixed,1
0.0001,100,300,64512,205000,31.469268292682926,9.999699802876877e-05,-0.04696039159486134,-0.04706038859289011,1.0857362047581295e-05,92098.42498143768,0.9999729716524715,True,82.9022948999991,fixed,1
0.0001,100,1000,77136,225603,34.191034693687584,9.999954419412371e-05,-0.0904737223088482,-0.09057372185304233,1.0857362047581295e-05,92100.46399952023,0.9999840410691654,True,470.0473606000014,fixed,1
0.0001,100,3000,74024,242884,30.47710017950956,9.997489724197783e-05,-0.12841813817204384,-0.12851811306928582,1.0857362047581295e-05,92102.4936733768,0.9999950596362552,True,1697.8027235000009,fixed,1
0.0001,300,100,60932,205004,29.72234688103647,9.999471808068428e-05,0.056038939449350414,0.05593894473126973,8.766112701907304e-06,114073.62774860162,0.9999911385405684,True,11.098255200002313,fixed,1
0.0001,300,300,78680,228150,34.486083716852946,9.998973548348009e-05,-0.0017299894596643633,-0.0018299791951478434,8.766112701907304e-06,114074.06838622791,0.9999930698953643,True,63.29603190000125,fixed,1
0.0001,300,1000,83844,251078,33.39360676761803,9.99886707517203e-05,-0.03449210082811781,-0.03459208949886953,8.766112701907304e-06,114074.81725962667,0.999996352267031,True,312.6207103000015,fixed,1
0.0001,300,3000,92862,270308,34.354144161475055,9.999853201476949e-05,-0.055537742444297475,-0.055637740976312244,8.766112701907304e-06,114075.34787051784,0.9999986779702466,True,1596.3125217999986,fixed,1
0.0001,1000,100,70778,225605,31.372531637153433,9.999805667099126e-05,0.09511430630445103,0.09501430824778004,7.238241365054198e-06,138152.9663710138,0.9999922579158369,True,14.15412170000127,fixed,1
0.0001,1000,300,77644,251079,30.924131448667552,9.999971271781871e-05,0.034049782919550665,0.03394978320683285,7.238241365054198e-06,138154.8824522079,0.9999991924745597,True,43.74083039999823,fixed,1
0.0001,1000,1000,93346,276311,33.782947475851486,9.999285761845865e-05,0.00036383445646400066,0.000263841598845542,7.238241365054198e-06,138155.09270363607,0.9999999534001769,True,228.08049859999664,fixed,1
0.0001,1000,3000,102925,297472,34.599895116179,9.996062225992725e-05,-0.01821132764199083,-0.01831128826425076,7.238241365054198e-06,138155.0066445866,0.9999996419420281,True,1028.1492796999992,fixed,1
