problem,epsilon,seed,mu_mode,iterations,elapsed_seconds,objective_value,dual_value,gap,mu_final,stages,converged,predicted_iterations,percent_of_predicted
piecewise_linear_max_abs,0.01,0,fixed_mu,3832,0.3775363999993715,0.496381021448669,0.48638640524837373,0.009994616200295292,0.0007816249778396312,1,True,6319,60.642506725747744
piecewise_linear_max_abs,0.01,0,continuation_mu,5110,0.44565549999606446,0.4965895954674177,0.4865916935886886,0.00999790187872912,0.0007816249778396312,3,True,6319,80.86722582687133
piecewise_linear_max_abs,0.01,1,fixed_mu,3776,0.30873150000115857,0.47592549233448955,0.465925929311125,0.009999563023364577,0.0007816249778396312,1,True,6461,58.442965485219005
piecewise_linear_max_abs,0.01,1,continuation_mu,5050,0.37884710000435007,0.47601662050521554,0.46602072834408104,0.0099958921611345,0.0007816249778396312,3,True,6461,78.16127534437393
piecewise_linear_max_abs,0.01,2,fixed_mu,3906,0.32178550000026007,0.5184416468585626,0.5084446870321775,0.009996959826385154,0.0007816249778396312,1,True,6413,60.90753157648526
piecewise_linear_max_abs,0.01,2,continuation_mu,5147,0.389421100000618,0.5185689738879861,0.5085712660700861,0.009997707817899992,0.0007816249778396312,3,True,6413,80.25884921253703
piecewise_linear_max_abs,0.01,3,fixed_mu,3700,0.30294359999970766,0.4696654422808584,0.4596735101267789,0.009991932154079508,0.0007816249778396312,1,True,6273,58.982942770604176
piecewise_linear_max_abs,0.01,3,continuation_mu,5003,0.37443100000018603,0.4699236275904933,0.4599275206869189,0.009996106903574387,0.0007816249778396312,3,True,6273,79.75450342738722
piecewise_linear_max_abs,0.01,4,fixed_mu,3734,0.30503029999817954,0.4445431685660112,0.43454651194511107,0.009996656620900157,0.0007816249778396312,1,True,6372,58.60012554927809
piecewise_linear_max_abs,0.01,4,continuation_mu,4986,0.3727794000005815,0.4446168644464347,0.4346172906531071,0.00999957379332761,0.0007816249778396312,3,True,6372,78.24858757062147
piecewise_linear_max_abs,0.001,0,fixed_mu,34692,3.3308672000021033,0.49025376358883976,0.48925380484797537,0.0009999587408643928,7.816249778396313e-05,1,True,63791,54.38384725117963
