problem,seed,epsilon,inverse_epsilon,log_inverse_epsilon,iterations,predicted_iterations,elapsed_seconds,gap,converged
sum_absolute,0,0.05,20.0,2.995732273553991,2985,12435,0.15352600000005623,0.04998826902362907,True
sum_absolute,0,0.01,100.0,4.605170185988092,13486,62175,0.6900961999999708,0.009999723860076415,True
sum_absolute,0,0.005,200.0,5.298317366548036,26390,124350,1.34795849999864,0.004999886615664195,True
sum_absolute,0,0.001,1000.0,6.907755278982137,130400,621747,6.662952999999106,0.0009999990355993305,True
sum_absolute,0,0.0005,2000.0,7.600902459542082,258353,1243493,13.214832899999237,0.0004999971974939399,True
sum_absolute,0,0.0001,10000.0,9.210340371976184,1291733,6217462,67.51657059999889,9.999991881670667e-05,True
sum_absolute,1,0.1,10.0,2.302585092994046,1682,6191,0.10293280000041705,0.09988796039381498,True
sum_absolute,1,0.05,20.0,2.995732273553991,3208,12382,0.16991290000078152,0.04998478198793066,True
sum_absolute,1,0.01,100.0,4.605170185988092,15557,61908,0.8095794999990176,0.009999459666374833,True
sum_absolute,1,0.005,200.0,5.298317366548036,31150,123816,1.6472807999998622,0.00499988785922767,True
sum_absolute,1,0.001,1000.0,6.907755278982137,153388,619076,8.111468799999784,0.0009999984633850545,True
sum_absolute,1,0.0005,2000.0,7.600902459542082,306472,1238152,16.14902280000024,0.0004999993382597268,True
sum_absolute,1,0.0001,10000.0,9.210340371976184,1524581,6190756,80.79857289999927,9.999988439801655e-05,True
sum_absolute,2,0.1,10.0,2.302585092994046,1439,6245,0.07355160000042815,0.09912975485245568,True
sum_absolute,2,0.05,20.0,2.995732273553991,2513,12490,0.1282292999985657,0.04999117067221448,True
sum_absolute,2,0.01,100.0,4.605170185988092,11285,62449,0.574344700000438,0.00999938436578418,True
sum_absolute,2,0.005,200.0,5.298317366548036,22183,124898,1.13393730000098,0.00499982391285414,True
sum_absolute,2,0.001,1000.0,6.907755278982137,109728,624488,5.624029399999927,0.000999998762551968,True
sum_absolute,2,0.0005,2000.0,7.600902459542082,217483,1248975,11.084079899999779,0.0004999993930709934,True
sum_absolute,2,0.0001,10000.0,9.210340371976184,1086119,6244874,55.59823189999952,9.999989680409271e-05,True
sum_absolute,3,0.1,10.0,2.302585092994046,1545,6179,0.08222010000099544,0.09956837652141814,True
sum_absolute,3,0.05,20.0,2.995732273553991,2587,12358,0.13344709999910265,0.04996005572145634,True
sum_absolute,3,0.01,100.0,4.605170185988092,11374,61789,0.5965868000002956,0.009999020504608325,True
sum_absolute,3,0.005,200.0,5.298317366548036,22072,123578,1.14832270000079,0.004999588126878507,True
sum_absolute,3,0.001,1000.0,6.907755278982137,108430,617887,5.689173699998719,0.0009999943755474305,True
sum_absolute,3,0.0005,2000.0,7.600902459542082,210629,1235773,11.033954200000153,0.0004999997646848442,True
sum_absolute,3,0.0001,10000.0,9.210340371976184,1047636,6178863,55.59467559999939,9.999999278420546e-05,True
sum_absolute,4,0.1,10.0,2.302585092994046,1541,6235,0.0866186999992351,0.09996174014503367,True
sum_absolute,4,0.05,20.0,2.995732273553991,2773,12469,0.14571080000132497,0.04999937614344674,True
